JUDGE,PANEL_ID,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,PNL-15,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-16,575,574,556,538,2097,2111,2266,3249,3776,3033,2946
양품,PNL-17,572,575,559,538,2154,2148,2308,3254,3906,3036,2930
양품,PNL-18,570,574,551,531,2018,2151,3202,3422,3342,3166,3265
양품,PNL-19,572,575,557,534,2109,2176,2291,3283,3839,3019,2960
양품,PNL-20,572,571,549,532,2099,2188,3421,3458,3365,3213,3145
양품,PNL-01,574,574,559,536,2154,2138,2279,3258,3845,3016,2888
양품,PNL-02,572,574,559,538,2142,2142,2261,3297,3812,3019,2917
양품,PNL-03,571,570,551,535,1992,2176,3195,3689,3218,3170,3095
양품,PNL-04,572,575,556,535,2102,2173,2317,3345,3962,3105,2949
양품,PNL-05,570,574,551,531,2018,2151,3202,3422,3342,3166,3265
양품,PNL-06,569,571,552,534,1992,2192,3221,3528,3336,3114,3162
명점,PNL-07,573,569,547,530,2036,2167,3146,3441,3302,3183,3145
명점,PNL-08,574,572,559,537,2105,2115,2252,3387,3783,3002,2939
양품,PNL-09,572,574,559,538,2142,2142,2261,3297,3812,3019,2917
양품,PNL-10,569,574,553,533,2028,2193,3231,3433,3268,3234,3154
양품,PNL-11,573,575,559,535,2176,2116,2313,3313,3954,3088,2965
양품,PNL-12,575,576,555,532,2135,2115,2255,3220,3767,3005,2935
양품,PNL-13,577,571,556,536,2077,2027,2429,3150,3548,2942,2714
양품,PNL-14,573,574,557,532,2282,2161,2324,3316,3830,3036,2955
양품,PNL-15,569,573,549,531,2026,2173,3193,3478,3362,3216,3168
양품,PNL-16,572,576,558,535,2154,2147,2299,3264,3894,3036,2962
양품,PNL-17,567,572,548,531,2009,2203,3238,3553,3293,3168,3225
양품,PNL-18,574,576,553,532,2114,2163,2328,3372,3896,3125,2961
양품,PNL-19,575,573,558,537,2194,2100,2272,3270,3785,3011,2948
양품,PNL-20,567,574,552,532,2022,2199,3255,3505,3272,3235,3182
양품,PNL-01,568,571,552,535,2028,2165,3195,3545,3345,3136,3158
양품,PNL-02,569,570,554,535,2005,2187,3258,3442,3278,3150,3223
양품,PNL-03,574,574,556,533,2111,2161,2494,3276,3805,3041,3107
명점,PNL-04,574,572,556,535,2142,2155,2279,3332,3817,3022,2933
양품,PNL-05,573,574,559,538,2152,2203,2337,3092,3673,2861,2791
양품,PNL-06,575,575,553,532,2145,2117,2292,3390,3915,3025,2891
양품,PNL-07,574,576,559,538,2162,2142,2305,3258,3798,3055,3029
