JUDGE,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,573.0,576.0,559.0,537.0,2164.0,2141.0,2309.0,3253.0,3910.0,3051.0,2919.0
양품,573.0,575.0,560.0,538.0,2104.0,2148.0,2291.0,3283.0,3826.0,3043.0,2860.0
양품,576.0,570.0,544.0,527.0,2034.0,2188.0,3165.0,4034.0,3389.0,3194.0,3139.0
양품,571.0,570.0,551.0,535.0,1992.0,2176.0,3195.0,3689.0,3218.0,3170.0,3095.0
양품,572.0,573.0,553.0,534.0,2069.0,2168.0,3153.0,3407.5,3545.0,3132.0,3136.0
양품,572.0,569.0,551.0,531.0,2002.0,2193.0,3242.0,3511.0,3272.0,3196.0,3171.0
양품,569.0,570.0,551.0,535.0,2017.0,2215.0,3251.0,3545.0,3276.0,3140.0,3156.0
양품,575.0,574.0,550.0,531.0,1933.0,2110.0,3060.0,3145.0,3529.0,2932.0,3042.0
양품,570.0,575.0,552.0,531.0,2035.0,2164.0,3322.0,3425.0,3324.0,3121.0,3189.0
양품,569.0,570.0,552.0,533.0,2084.0,2157.0,3187.0,3514.0,3336.0,3222.0,3184.0
양품,572.0,573.0,551.0,531.0,1999.0,2209.0,3163.0,3459.0,3316.0,3125.0,3217.0
양품,572.0,573.0,551.0,533.0,2011.0,2222.0,3237.0,3442.0,3364.0,3204.0,3225.0
양품,566.0,575.0,553.0,535.0,2034.0,2200.0,3285.0,3507.0,3337.0,3199.0,3153.0
양품,572.0,576.0,559.0,539.0,2116.0,2220.0,2336.0,3262.0,3896.0,3052.0,2968.0
양품,572.0,574.0,559.0,538.0,2142.0,2142.0,2261.0,3297.0,3812.0,3019.0,2917.0
명점,568.0,574.0,554.0,535.0,2013.0,2193.0,3236.0,3448.0,3248.0,3149.0,3601.0
양품,574.0,571.0,547.0,528.0,1930.0,2055.0,2960.0,3282.0,3655.0,3246.0,3001.0
양품,572.0,572.0,559.0,537.0,2117.0,2149.0,2317.0,3290.0,3905.0,3067.0,2885.0
양품,572.0,576.0,559.0,539.0,2116.0,2220.0,2336.0,3262.0,3896.0,3052.0,2968.0
양품,568.0,572.0,549.0,530.0,2031.0,2152.0,3164.0,3448.0,3348.0,3317.0,3186.0
양품,572.0,573.0,553.0,534.0,2069.0,2168.0,3153.0,3407.5,3545.0,3132.0,3136.0
양품,575.0,574.0,556.0,538.0,2097.0,2111.0,2266.0,3249.0,3776.0,3033.0,2946.0
양품,572.0,575.0,559.0,538.0,2154.0,2148.0,2308.0,3254.0,3906.0,3036.0,2930.0
양품,570.0,574.0,551.0,531.0,2018.0,2151.0,3202.0,3422.0,3342.0,3166.0,3265.0
양품,572.0,575.0,557.0,534.0,2109.0,2176.0,2291.0,3283.0,3839.0,3019.0,2960.0
양품,572.0,571.0,549.0,532.0,2099.0,2188.0,3421.0,3458.0,3365.0,3213.0,3145.0
양품,574.0,574.0,559.0,536.0,2154.0,2138.0,2279.0,3258.0,3845.0,3016.0,2888.0
양품,572.0,574.0,559.0,538.0,2142.0,2142.0,2261.0,3297.0,3812.0,3019.0,2917.0
양품,571.0,570.0,551.0,535.0,1992.0,2176.0,3195.0,3689.0,3218.0,3170.0,3095.0
양품,572.0,575.0,556.0,535.0,2102.0,2173.0,2317.0,3345.0,3962.0,3105.0,2949.0
양품,570.0,574.0,551.0,531.0,2018.0,2151.0,3202.0,3422.0,3342.0,3166.0,3265.0
양품,569.0,571.0,552.0,534.0,1992.0,2192.0,3221.0,3528.0,3336.0,3114.0,3162.0
명점,573.0,569.0,547.0,530.0,2036.0,2167.0,3146.0,3441.0,3302.0,3183.0,3145.0
명점,574.0,572.0,559.0,537.0,2105.0,2115.0,2252.0,3387.0,3783.0,3002.0,2939.0
양품,572.0,574.0,559.0,538.0,2142.0,2142.0,2261.0,3297.0,3812.0,3019.0,2917.0
양품,569.0,574.0,553.0,533.0,2028.0,2193.0,3231.0,3433.0,3268.0,3234.0,3154.0
양품,573.0,575.0,559.0,535.0,2176.0,2116.0,2313.0,3313.0,3954.0,3088.0,2965.0
양품,575.0,576.0,555.0,532.0,2135.0,2115.0,2255.0,3220.0,3767.0,3005.0,2935.0
양품,577.0,571.0,556.0,536.0,2077.0,2027.0,2429.0,3150.0,3548.0,2942.0,2714.0
양품,573.0,574.0,557.0,532.0,2282.0,2161.0,2324.0,3316.0,3830.0,3036.0,2955.0
양품,569.0,573.0,549.0,531.0,2026.0,2173.0,3193.0,3478.0,3362.0,3216.0,3168.0
양품,572.0,576.0,558.0,535.0,2154.0,2147.0,2299.0,3264.0,3894.0,3036.0,2962.0
양품,567.0,572.0,548.0,531.0,2009.0,2203.0,3238.0,3553.0,3293.0,3168.0,3225.0
양품,574.0,576.0,553.0,532.0,2114.0,2163.0,2328.0,3372.0,3896.0,3125.0,2961.0
양품,575.0,573.0,558.0,537.0,2194.0,2100.0,2272.0,3270.0,3785.0,3011.0,2948.0
양품,567.0,574.0,552.0,532.0,2022.0,2199.0,3255.0,3505.0,3272.0,3235.0,3182.0
양품,568.0,571.0,552.0,535.0,2028.0,2165.0,3195.0,3545.0,3345.0,3136.0,3158.0
양품,569.0,570.0,554.0,535.0,2005.0,2187.0,3258.0,3442.0,3278.0,3150.0,3223.0
양품,574.0,574.0,556.0,533.0,2111.0,2161.0,2494.0,3276.0,3805.0,3041.0,3107.0
명점,574.0,572.0,556.0,535.0,2142.0,2155.0,2279.0,3332.0,3817.0,3022.0,2933.0
양품,573.0,574.0,559.0,538.0,2152.0,2203.0,2337.0,3092.0,3673.0,2861.0,2791.0
양품,575.0,575.0,553.0,532.0,2145.0,2117.0,2292.0,3390.0,3915.0,3025.0,2891.0
양품,574.0,576.0,559.0,538.0,2162.0,2142.0,2305.0,3258.0,3798.0,3055.0,3029.0
양품,572.0,573.0,553.0,534.0,2069.0,2168.0,3153.0,3407.5,3545.0,3132.0,3136.0
양품,571.0,571.0,551.0,533.0,2014.0,2373.0,3224.0,3393.0,3304.0,3154.0,3149.0
양품,572.0,576.0,559.0,539.0,2116.0,2220.0,2336.0,3262.0,3896.0,3052.0,2968.0
명점,568.0,574.0,552.0,533.0,2078.0,2173.0,3171.0,3404.0,3210.0,3145.0,3184.0
양품,569.0,571.0,551.0,534.0,1994.0,2193.0,3156.0,3419.0,3743.0,3149.0,3159.0
양품,576.0,572.0,555.0,534.0,2104.0,2185.0,2369.0,3280.0,3850.0,3037.0,2886.0
양품,570.0,571.0,551.0,535.0,1995.0,2179.0,3183.0,3399.0,3303.0,3338.0,3120.0
양품,573.0,575.0,557.0,537.0,2116.0,2184.0,2336.0,3324.0,3917.0,3132.0,3001.0
양품,573.0,573.0,558.0,537.0,2143.0,2133.0,2262.0,3234.0,3809.0,3006.0,2933.0
양품,573.0,576.0,558.0,537.0,2166.0,2370.0,2350.0,3338.0,3815.0,3136.0,2953.0
양품,572.0,573.0,553.0,534.0,2069.0,2168.0,3153.0,3407.5,3545.0,3132.0,3136.0
양품,572.0,573.0,553.0,534.0,2069.0,2168.0,3153.0,3407.5,3545.0,3132.0,3136.0
양품,570.0,572.0,549.0,533.0,2032.0,2185.0,3241.0,3549.0,3287.0,3199.0,3159.0
양품,569.0,570.0,552.0,533.0,2084.0,2157.0,3187.0,3514.0,3336.0,3222.0,3184.0
양품,573.0,573.0,558.0,537.0,2156.0,2128.0,2328.0,3243.0,3919.0,3086.0,2960.0
양품,573.0,574.0,558.0,536.0,2312.0,2155.0,2338.0,3241.0,3798.0,3047.0,2945.0
양품,572.0,573.0,553.0,534.0,2069.0,2168.0,3153.0,3407.5,3545.0,3132.0,3136.0
양품,573.0,575.0,559.0,535.0,2176.0,2116.0,2313.0,3313.0,3954.0,3088.0,2965.0
양품,569.0,571.0,551.0,535.0,2000.0,2198.0,3203.0,3528.0,3358.0,3191.0,3146.0
양품,575.0,574.0,550.0,531.0,1933.0,2110.0,3060.0,3145.0,3429.0,2932.0,3042.0
양품,573.0,571.0,551.0,533.0,1997.0,2160.0,3177.0,3527.0,3266.0,3198.0,3214.0
명점,573.0,577.0,558.0,536.0,2110.0,2119.0,2272.0,3264.0,3331.0,3029.0,2938.0
양품,572.0,573.0,553.0,534.0,2069.0,2168.0,3153.0,3407.5,3545.0,3132.0,3136.0
양품,574.0,576.0,559.0,537.0,2108.0,2334.0,2304.0,3291.0,3931.0,3062.0,3067.0
양품,578.0,576.0,554.0,530.0,2127.0,2159.0,2416.0,3240.0,3903.0,3067.0,2954.0
양품,569.0,569.0,553.0,534.0,1998.0,2199.0,3211.0,3408.0,3285.0,3130.0,3198.0
