JUDGE,PHOS_R_DRY_TEMP_GLASS_START,PHOS_R_DRY_TEMP_GLASS_END,PHOS_R_DRY_TEMP_WALL_START,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_PRES_START,PHOS_R_DRY_PRES_END,PHOS_R_DRY_TEMP_GLASS_OUT,PHOS_R_DRY_TEMP_HOOD_START,PHOS_R_DRY_TEMP_HOOD_MAX,PHOS_G_DRY_TEMP_GLASS_START,PHOS_G_DRY_TEMP_GLASS_END,PHOS_G_DRY_TEMP_WALL_START,PHOS_G_DRY_TEMP_WALL_MAX,PHOS_G_DRY_PRES_START,PHOS_G_DRY_PRES_END,PHOS_G_DRY_TEMP_GLASS_OUT,PHOS_G_DRY_TEMP_HOOD_START,PHOS_G_DRY_TEMP_HOOD_MAX,PHOS_FIRE_TEMP_ANEAL_CH01,PHOS_FIRE_TEMP_ANEAL_CH02,PHOS_FIRE_TEMP_ANEAL_CH03,PHOS_FIRE_TEMP_ANEAL_CH04,PHOS_FIRE_EXHAUST_HEAT1,PHOS_FIRE_EXHAUST_HEAT2,PHOS_FIRE_EXHAUST_HEAT3,PHOS_FIRE_EXHAUST_HEAT4
양품,47.0,136.0,111.5,166.5,86.4,69.1,28.3,139.0,156.0,48.0,141.0,110.8,189.9,52.4,32.8,35.0,83.0,84.0,444.0,420.0,392.0,371.0,4119.0,3994.0,4487.0,2521.0
양품,48.0,135.8,107.4,167.8,88.6,73.2,26.2,147.0,156.8,47.0,139.5,108.4,188.2,47.9,31.5,32.4,81.9,82.9,446.0,422.0,394.0,371.0,3650.0,4061.0,4439.0,2576.0
양품,46.1,135.5,100.5,164.4,85.0,75.0,29.4,137.0,153.6,46.8,139.3,104.1,185.3,61.0,29.5,30.1,80.9,82.1,440.0,420.0,391.0,371.0,4113.0,3997.0,4480.0,2525.0
양품,46.3,135.0,101.1,163.9,85.1,71.8,27.0,118.0,154.0,46.6,139.8,109.0,188.3,56.2,32.0,31.3,81.0,82.0,445.0,423.0,394.0,374.0,3662.0,4103.0,4468.0,2581.0
양품,47.8,136.0,110.9,166.3,85.4,70.0,28.5,124.0,157.0,47.7,140.9,110.2,188.1,53.9,28.3,32.4,82.4,83.4,443.0,421.0,392.0,372.0,4124.0,3982.0,4451.0,2502.0
양품,46.7,135.4,105.7,163.8,84.0,73.7,31.6,90.6,145.1,44.8,138.2,107.4,184.9,56.9,31.0,36.6,80.7,82.0,443.0,417.0,389.0,367.0,3642.0,4105.0,4483.0,2589.0
양품,46.7,136.0,109.4,167.2,86.8,73.9,27.5,126.0,153.5,46.5,138.9,110.4,189.2,56.5,29.4,32.3,82.8,83.8,443.0,420.0,392.0,371.0,4138.0,4004.0,4437.0,2529.0
양품,47.4,136.0,112.0,167.6,87.5,71.9,28.4,129.0,144.8,48.8,140.5,110.3,189.6,54.7,28.5,32.8,83.3,84.3,443.0,420.0,392.0,370.0,3636.0,4109.0,4450.0,2583.0
양품,47.0,136.0,107.2,166.9,85.9,76.5,26.4,109.0,155.4,48.2,140.2,108.2,189.2,57.8,26.5,32.8,83.1,83.9,443.0,420.0,393.0,372.0,3627.0,4042.0,4457.0,2579.0
양품,46.7,136.0,109.4,167.2,86.8,73.9,27.5,108.0,153.5,46.5,138.9,110.4,189.2,56.5,29.4,32.3,82.8,83.8,443.0,420.0,392.0,371.0,4138.0,4004.0,4437.0,2529.0
양품,47.8,136.0,111.5,168.3,83.0,72.4,28.0,155.9,156.5,46.6,138.8,110.8,189.4,55.6,27.1,32.6,82.8,84.0,443.0,420.0,391.0,371.0,4111.0,4011.0,4454.0,2493.0
양품,47.5,135.4,105.0,166.8,87.2,71.8,27.6,100.0,155.3,46.5,138.8,107.1,187.4,55.5,27.4,33.1,81.2,82.2,444.0,418.0,392.0,371.0,3643.0,4056.0,4621.0,2578.0
양품,47.0,136.0,105.9,164.4,85.1,72.8,28.2,90.0,153.6,47.2,140.2,111.0,189.8,52.3,31.1,36.3,82.3,83.3,445.0,420.0,392.0,371.0,4135.0,4298.0,4443.0,2556.0
