JUDGE,TAT_1BLACK_2RTD,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE
명점,250.0,72,142.0,372.0,6660.0
양품,220.0,69,158.0,364.0,6867.0
양품,220.0,77,194.0,352.0,6687.0
양품,220.0,69,148.0,356.0,6687.0
양품,210.0,69,156.0,352.0,6873.0
양품,210.0,72,190.0,344.0,6987.0
양품,220.0,72,132.0,416.0,6960.0
양품,220.0,72,136.0,384.0,6840.0
명점,220.0,72,146.0,372.0,7293.0
양품,220.0,69,156.0,384.0,6927.0
양품,210.0,72,324.0,348.0,6687.0
양품,220.0,69,148.0,368.0,6747.0
양품,220.0,72,138.0,368.0,6927.0
양품,220.0,72,136.0,384.0,7020.0
양품,210.0,74,144.0,380.0,6960.0
양품,220.0,75,136.0,372.0,7080.0
양품,260.0,69,162.0,348.0,6900.0
양품,220.0,72,158.0,384.0,6927.0
양품,220.0,69,136.0,368.0,6813.0
양품,220.0,66,188.0,352.0,6840.0
양품,210.0,69,268.0,372.0,7200.0
양품,220.0,69,158.0,392.0,6900.0
명점,220.0,72,126.0,376.0,6747.0
양품,210.0,72,138.0,368.0,6660.0
양품,210.0,69,138.0,416.0,7287.0
양품,220.0,72,138.0,368.0,6927.0
양품,210.0,72,144.0,332.0,7140.0
양품,210.0,69,164.0,396.0,6810.0
양품,210.0,69,314.0,408.0,6660.0
양품,210.0,72,140.0,360.0,7053.0
양품,230.0,72,132.0,384.0,7020.0
양품,220.0,66,152.0,332.0,6780.0
양품,220.0,69,148.0,384.0,6840.0
양품,210.0,69,150.0,384.0,6840.0
양품,210.0,72,150.0,396.0,6927.0
명점,210.0,69,140.0,368.0,6903.0
양품,230.0,72,132.0,384.0,7020.0
양품,220.0,69,238.0,348.0,6840.0
양품,240.0,69,138.0,364.0,7140.0
양품,220.0,69,208.0,384.0,7053.0
양품,210.0,72,132.0,372.0,6987.0
양품,240.0,66,202.0,368.0,6903.0
