JUDGE,BLACK_RTD_TEMP_GLASS_START,BLACK_RTD_TEMP_GLASS_END,BLACK_RTD_TEMP_WALL_START,BLACK_RTD_TEMP_WALL_MAX,BLACK_RTD_PRES_START,BLACK_RTD_PRES_END,BLACK_RTD_TEMP_GLASS_OUT,BLACK_RTD_TEMP_HOOD_START,BLACK_RTD_TEMP_HOOD_MAX,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,AG_RTD_TEMP_HOOD_MAX,AG_EXPOSURE_TEMP_MASK,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,BUS_FIRE_TEMP_KEEP_CH01,BUS_FIRE_TEMP_KEEP_CH02,BUS_FIRE_TEMP_KEEP_CH03,BUS_FIRE_TEMP_ANEAL_CH01,BUS_FIRE_TEMP_ANEAL_CH02,BUS_FIRE_TEMP_ANEAL_CH03
양품,41.0,107.6,89.4,114.1,232.0,193.9,60.9,94.0,96.5,45.0,138.0,78.0,100.0,347.6,376.4,42.2,97.5,98.0,23.611,59.699,60.208,62.62,23.404,30.878,34.796,2.027,2.054,568.0,581.0,599.0,576.0,541.0,520.0
양품,45.2,104.3,88.5,114.6,200.4,180.1,59.3,94.0,96.7,46.0,138.0,78.0,101.1,408.2,351.6,42.7,92.0,92.1,23.636,62.5,63.726,59.888,23.362,30.961,34.0,2.031,2.057,560.0,577.0,593.0,576.0,538.0,516.0
양품,39.6,107.8,86.0,113.4,239.7,219.4,58.7,91.4,95.2,43.0,137.0,82.0,104.0,372.0,362.0,45.2,100.0,101.0,22.784,61.642,59.989,60.997,22.811,30.0,30.3,2.034,1.988,570.0,581.0,596.0,572.0,540.0,520.0
양품,43.6,106.1,88.9,114.0,211.9,153.6,58.1,95.0,97.7,45.3,138.0,77.0,100.3,384.7,362.0,48.0,94.7,95.0,23.626,60.111,60.192,61.004,23.477,30.8,35.3,2.029,1.998,571.0,582.0,599.0,575.0,543.0,518.0
양품,44.3,93.3,88.4,114.8,206.5,149.4,58.3,93.8,96.1,45.0,138.0,76.9,102.8,355.4,376.6,45.2,92.0,92.0,23.6,60.431,61.801,62.3,23.409,30.8,35.3,2.022,2.0,568.0,583.0,600.0,574.0,542.0,518.0
양품,44.4,99.7,89.7,115.0,223.9,91.0,58.3,92.4,95.5,45.0,138.0,78.0,102.1,315.4,362.1,46.6,92.0,93.0,23.465,60.7,60.334,64.4,23.5,31.4,34.9,2.021,2.0,573.0,584.0,601.0,569.0,539.0,516.0
양품,43.9,98.8,88.5,115.4,173.4,163.6,59.1,94.0,96.5,44.3,138.0,76.7,103.0,319.1,324.1,45.5,92.0,92.3,23.354,62.17,65.136,64.962,23.378,31.1,34.8,2.027,2.001,580.0,593.0,602.0,572.0,542.0,518.0
양품,45.2,108.7,89.5,114.5,251.5,155.6,58.5,93.0,95.5,46.8,138.0,77.0,102.0,328.7,432.5,40.3,92.0,93.0,23.647,62.0,63.909,62.522,23.4,31.044,33.629,2.031,2.049,570.0,581.0,596.0,570.0,541.0,518.0
양품,44.7,100.6,89.0,114.1,184.0,96.4,57.6,91.6,94.8,45.9,138.0,78.0,101.9,391.8,331.4,47.1,92.0,93.0,23.413,62.446,64.6,65.013,23.5,31.3,34.576,2.025,2.047,575.0,586.0,602.0,574.0,542.0,518.0
양품,38.2,105.5,86.2,112.3,181.9,272.7,59.6,91.0,93.4,42.9,136.0,81.7,102.9,352.7,375.9,47.3,103.7,104.6,23.28,61.25,61.791,62.783,22.808,30.0,30.3,2.024,1.993,563.0,579.0,594.0,574.0,543.0,520.0
양품,44.4,102.3,88.6,115.6,206.9,158.1,58.1,93.4,96.0,46.9,138.0,77.8,100.4,339.9,389.0,45.7,91.9,92.9,23.451,60.546,62.0,60.452,23.4,31.17,34.216,2.032,2.054,562.0,578.0,593.0,572.0,542.0,519.0
양품,44.7,105.2,89.6,116.1,207.5,209.1,57.0,93.5,95.7,45.9,137.0,76.9,101.0,348.7,355.1,39.7,90.9,91.9,23.348,60.863,61.386,62.132,23.5,30.8,35.3,2.026,2.294,567.0,583.0,599.0,574.0,538.0,517.0
양품,44.6,101.0,90.0,115.0,189.1,149.9,58.0,95.0,99.0,47.0,139.0,78.0,102.0,336.0,393.0,42.9,95.0,95.0,23.412,59.649,63.144,62.184,23.1,31.0,32.3,2.026,2.0,570.0,582.0,597.0,572.0,542.0,520.0
양품,45.6,105.4,89.5,115.2,186.4,145.8,58.3,94.6,97.6,45.1,138.0,78.0,101.0,328.8,368.5,45.2,93.0,93.9,23.425,60.111,61.52,60.165,23.503,31.4,34.9,2.025,2.001,572.0,583.0,600.0,570.0,542.0,519.0
양품,44.7,100.7,89.6,114.6,176.8,106.0,57.6,92.8,95.9,45.1,138.0,77.9,101.1,397.8,336.9,47.1,92.0,93.0,23.766,61.941,63.716,63.109,23.5,31.343,34.726,2.023,2.056,570.0,584.0,600.0,573.0,544.0,519.0
